id	text	misogynous	aggressiveness
148	"Ancora Espressioni dei  Nuovi Stili di Vita"" Tanto decantati dalla BALDRACCA, GRASSA e Schifosa Comunista, che una volta stava alla ""camera""! <URL>	1	1
149	<MENTION_1> quanto adoro la troia che sei...mi eccita da matti e ti scoperei senza fermarmi	1	1
150	Alessandra fai poco la figa che lo sappiamo che mo torni a casa a piangere e poi chiami <MENTION_1> per avere il numero del palestrato #primoappuntamento	1	0
151	<MENTION_1> Posso farti io la scuola guida, a ogni errore una punizione Fai spegnere la macchina ? Mi seghi Freni di botto ? Ti inculoGratti la frizione ? Bocchino Ci stai ??????	1	1
152	<MENTION_1> Ti scoperei tutta... anche con quella maglia schifosa addosso ???	1	1
153	pora nana vi son video metro rossetticertificati video con calzino ecc ecc ecc haha sei solo na pira troia da tastirmera.che infanga perche psicopatica	1	1
154	Mi segue la tettona...????????	1	0
155	<MENTION_1> Ti scoperei.... E ti sborro addosso e tu mi vieni in bocca..... ????????	1	1
156	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> Te lo metterei in bocca in figa nelle tette per una spagnola e nel culo	1	1
157	<MENTION_1> Buonanotte a te splendida tettona	1	0
158	Basta vado a dormire sto 4/04 mi ha stressato <MENTION_1> chiattona schifosa DOMANI QUANDO MI ALZO VOGLIO VEDERE QUEL CAZZ DI ALBUM SIAMO INTESI <URL>	1	1
159	<MENTION_1> Che bel culone	1	0
160	<MENTION_1> No. Solo uno. La tettona bionda. (Che sfiga eh, proprio lei)	1	0
161	ma che cazzo di problemi ha mia mamma ad urlare alle 6.40 della mattina?porca troia vuoi chiudere quella figa di bocca????	1	1
162	<MENTION_1> <MENTION_2> Eh già già sanzioni a cazzo di cane senza la minima prova comandati come burattini dalla culona e dal pirlon che si tromba la madre	1	1
163	<MENTION_1> Non mi sembra faccia puttanone?	1	1
164	<MENTION_1> Buongiorno bellissima tettona fatti vedere completamente nuda	1	1
165	<MENTION_1> <MENTION_2> <MENTION_1> povera puttana che sei	1	1
166	Il segreto per posare il proprio culo sull’autobus e non alzarsi per nessuna vecchietta o figa di legno: sedersi attaccati al finestrino e far sedere chiunque accanto a te. Chiunque. #sopravvivereadatacmerda	1	1
167	<MENTION_1> Oltre che nn capire un cazzo 1 sei un camorrista zozzo 2 c hai la mamma puttana 3 la sorella bocchinara 4 va a morì ammazzato tu e tutta la tua lurida città 5 spero che il Vesuvio te bruci vivo figlio della merda	1	1
168	<MENTION_1> Sei una grandissima troia, sono sicuro che ti piace sentirtelo dire mentre ti sbattono	1	1
169	"A tutti quelli che si scervellano per scrivere il tweet migliore, ricordo, che, di solito, poi arriva il puttanone di turno che scrive mi fa male il culo"" e subito 2.000 RT."""	1	0
170	<MENTION_1> Ti scopo dalla mattina alla sera culo e figa	1	1
171	<MENTION_1> Facciamolo cornuto insieme lui guarda e io mi ti inculo	1	1
172	<MENTION_1> Ti inculo col mio cazzo duro	1	1
173	Vania sta facendo la paracula but guess what figa di legno e deve sudarsi il mio perdono	1	0
174	Ho voglia di succhiare una tettona	1	0
175	<MENTION_1> Culona sfondata	1	1
176	"#lariachetira Perché invece delle dichiarazioni di stamane non fate vedere quella di quando ha dato dellaculona inchiavabile"" e qualche telf.con la Daddario così quella intelligentona della Picierno potrà ancora dire che è bello vedere 2 donne dietro Berlusca!"""	1	0
177	<MENTION_1> Hola culona hahahaahha	1	1
178	<MENTION_1> <MENTION_2> <MENTION_3> Ti inculo messa così Perchè te lo meriti	1	1
179	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> Ti sborro in faccia	1	1
180	<MENTION_1> <MENTION_2> <MENTION_3> Ke pompinara ?? Rossella visconti.???????	1	0
181	<MENTION_1> Ale credimi lui in confronto a questa un Santo .....almeno aveva le sue idee ...questa ha solo sete di potere ..non gliene frega niente nemmeno della sua gente culona del cavolo	1	1
182	<MENTION_1> ciao gilda complimenti al tuo bel culone....vuoi chattare con me .? ....	1	0
183	Nilufar che figa di legno mado smettila#uominiedonne	1	0
184	"<MENTION_1> <MENTION_2> <MENTION_3> in italia questo tipo di foto le chiamiamo : la natura morta con la figa di legno. """""	1	1
185	Ma amore io voglio scomparti il tuo bel culo fammi sapere e ti faccio il bel sedere <URL>	1	1
186	CULONA GOLDFINGER – LA GERMANIA NAVIGA NELL’ORO: HA LE RISERVE PIU’ GRANDI DOPO GLI USA <URL> <URL>	1	0
187	<MENTION_1> Se sarei li dove vorresti che ti sborro?	1	1
188	<MENTION_1> Ti sborro in bocca mentre ti lecco i piedi?	1	1
189	<MENTION_1> Se non erro lei era una grande ....pompinara	1	1
190	<MENTION_1> <MENTION_2> Ma che cazzo ti ridi culona	1	1
191	CULONA GOLDFINGER – LA GERMANIA NAVIGA NELL’ORO: HA LE RISERVE PIU’ GRANDI DOPO GLI USA, 3.374 TONNELLATE. E PENSARE CHE NEL 1950 NON C’ERA UN SOLO LINGOTTO NEI CAVEAU DELLA BUNDESBANK – L’ACCUMULO E’ INIZIATO PER CONTENERE IL… <URL> <URL>	1	0
192	RT <MENTION_1> CULONA GOLDFINGER – LA GERMANIA NAVIGA NELL’ORO: HA LE RISERVE PIU’ GRANDI DOPO GLI USA, 3.374 TONNELLATE. E PENSARE CHE…	1	1
193	<MENTION_1> Buongiorno anche a te tettona	1	0
194	<MENTION_1> Queste sono le tettone di mia mamma ...io le succhio ...????????????????????????????????????????????????????????????	1	1
195	Quindi fra mezz'ora sono a casa dalla tettona malefica,la sorprendo con una merenda a base di sushi,poi attacco con delle seppioline in umido con polenta tenendola buona con del vino bianco fresco nel frattempo e poi andiamo a ballare la salsa...Sono troppo adorabile!!!	1	0
196	RT <MENTION_1> Quindi fra mezz'ora sono a casa dalla tettona malefica,la sorprendo con una merenda a base di sushi,poi attacco con delle sepp…	1	1
197	adesso ritorno himo impiccati troia spears	1	1
198	<MENTION_1> <MENTION_2> Cose da pazzi !!! Sta culona !!!	1	1
199	<MENTION_1> Eccola la mia tettona!!! ?	1	1
200	<MENTION_1> Ciao. Ma tettona ossolana che fine a fatto?	1	1
201	<MENTION_1> Pare il puttanone di tor bella monaca che con 5 mila lire ti faceva toccare la zinna sinistra	1	1
202	<MENTION_1> ha fatto una bella figura con la finta ipnosi.....sta culona coatta.....	1	1
203	RT <MENTION_1> la culona inchiavabile l'aureata a pieni voti e con lode di merito all'universita' di menate sul membro:tu provieni dalle…	1	1
204	<MENTION_1> <MENTION_2> Su quella faccia da troia era il minimo! ?	1	1
205	Però sei un pochino tettona tu? — manco per il cazzo <URL>	1	1
206	<MENTION_1> <MENTION_2> Beh da Mattarella che invita un pregiudicato con tutti gli onori c'è da aspettarsi di tutto, poi figurarsi l'Europa prima di tutto.Vogliamo far dispiacere alla culona? Non sia mai detto.	1	0
207	<MENTION_1> sei una donna bellissima hai due occhi verdi delle belle tettone e un gran bel culo	1	0
208	A proposito di figa.Ma non sembra anche a voi che la Morali sia una grandissima figa di legno?Poro Scintilla. Gliela fa annusà, ma non gliela da!#isola	1	1
209	<MENTION_1> <MENTION_2> ??impossibile.. quelle hanno le #tette grandi e il culone	1	0
210	<MENTION_1> la mia prima impressione su di te: brutta copia di mecosa penso attualmente: che tu sia molto figa ti scoperei ammerdati shippo con: me cazzoquale pv ti sta meglio: cristina d’avenachi del gdr mi ricordi: tuo cugino che mi ha nascosto le st	1	1
211	<MENTION_1> seguimi puttanone?	1	1
212	Claudiona la puttanona 3: Dopo l'ultima volta che ho scritto, si sono susseguiti altri incontri con Claudia, fugaci e rischiando molto in quanto il tempo a sua disposizione non era mai troppo, abbiamo goduto insieme come pazzi, senza preamboli, ci si… <URL>	1	0
213	<MENTION_1> Ma Silvana è la tettona?	1	0
214	<MENTION_1> Vuoi giocare un po’ con me come i vecchi tempi lurida puttana?	1	1
215	<MENTION_1> <MENTION_2> BEL PUTTANONE	1	0
216	<MENTION_1> aceco letto puttanona ..???	1	1
217	<MENTION_1> <MENTION_2> Che puttana succhiacazzi!! E magari ingoia pure litri di sborra...	1	1
218	che faccia da troia <URL>	1	1
219	<MENTION_1> a me ecciterebbe sfondarti la fica e il culo e poi prosciugare le mie palle sulla tua faccia da troia in calore	1	1
220	<MENTION_1> bel viso labbra da pompinara	1	1
221	La mia amante è una lurida troia, insaziabile. Il marito non l' ha mai inculata. Io le ho sverginato il culo pochi mesi fa. Ma il mio cazzo è normale. Così ho chiamato un amico con un cazzo molto largo. Dopo averla chiavata gli ho chiesto di sfondale il… <URL>	1	1
222	<MENTION_1> <MENTION_2> Si può sapere qualcosa di più sulla tettona? ?	1	0
223	<MENTION_1> Non immagini la voglia di poterti sbattere !!! Non solo  guardare gli altri che lo fanno bel troione mmmm	1	1
224	Amore...fammela leccare quella tettona <URL>	1	1
225	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> sei una gran bella puttanone, vedo che ami il cazzo come poche.	1	1
226	<MENTION_1> <MENTION_2> Proprio lei, perchè non è il classico puttanone che ti fa solo sangue.	1	1
227	Anna Tatangelo é cantante e quindi saprà usare bene la bocca , sexy tettona  e pure cheffa.  Donna da scopare every day. #AnnaTatangelo #MasterChefit	1	1
228	<MENTION_1> <MENTION_2> Ahahah esatto, c'è solo da cambiare il trans con una tettona	1	1
229	DIOOOCCANGURO ho dimenticato le cuffiette a scuola e se sta merda dietro di me (meglio se non faccio nomi) non la smette GRIDARE CON LA SUA VOCE DI MERDA LE METTO UNA FOTOCOPIATRICE IN BOCCA PORCA PUTTANA	1	1
230	<MENTION_1> Il cazzo te lo infilo in bocca troia	1	1
231	<MENTION_1> Io ti inculo e te lo riempio Ank col mio sperma	1	1
232	Chiudo gli occhi e per magia sono sulla spiaggia bianca di Zanzibar seduto su una palma inclinata vicina alla riva coi piedi nella sabbia calda un mojito nella mano destra e con la sinistra accompagno la testa del puttanone che mi sta tirando un super pompino qua sulla statale.	1	1
233	<MENTION_1> Culona invece di rompere i coglioni a putin rompeglile agli americani che ti intercettavano culona di merda..	1	1
234	<MENTION_1> Bella pompinara	1	1
235	E dai cazzo! sei una cagna da concorso e vuoi l'uomo romantico... ma porca troia hai visto più cazzi che stelle e pretendi... bha	1	1
236	<MENTION_1> Piccolo in grande... hihihihi.. direi anche bianchi,  neri, del padre del figlio, di cani di cavalli, sei una puttana ti piace essere presa, usata, sottomessa, la tua figa e culo sono una banca dello sperma, ad ettolitri. Lurida cagna in c	1	1
237	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> dice liquido perche il presidente del milan si chiama LI e poi perché fanno sesso e il liquido è lo sperma che le cola in gola quindi deep una d in su e una p in giù come 69 sesso capito sono SBOCCHINATE OCCULTE i	1	1
238	<MENTION_1> Entrambi è perfetto! La tua figa è meravigliosa! Ti piace farti inculare anche?	1	1
239	<MENTION_1> Ti sborro adesso	1	1
240	<MENTION_1> Quelle tettone le prenderei a schiaffi con la cappella del cazzo! ?	1	1
241	<MENTION_1> è una puttana con le tette grandi mi manchi tanto anche se puzzi#limonayeappreciationday	1	1
242	Garibaldi se ne andava con un puttanone rumeno! #fratellidicrozza	1	0
243	Se dopo avertelo messo al culo te lo sbatte in figa o in bocca è quello sbagliato. <URL>	1	1
244	re li lecco tutti poi mi seghi e ti sborro nelle piante mmm <URL>	1	1
245	Giovanni, è brutto sentirselo dire ma tua moglie è proprio un bel puttanone... #cosìèlavita	1	1
246	<MENTION_1> che bocca sei una pompinara fantastica, ti fai sborrare in bocca' ingoi????	1	1
247	"nte lascio più sto appiccicato alla tua tettona""cit mio fratellp"""	1	1
248	Troiona che non sei altro , baldracca da quattro soldi. <URL>	1	1
249	<MENTION_1> <MENTION_2> Poi arriva il foraggiatore della mafia sotto indagine quale mandante occulto di stragi mafiose e mette a posto la culona inchiavabile... come no...	1	1
250	<MENTION_1> jinhwan non la chiama bobhwan ma jinbob che mi ricorda un kebab ma comunque PORCA PUTTANA SUL SERIO IO TI A M O TI RICOPRO DI BOBHWAN TE LE SPAMMO A TUTTE LE ORE QUANDO VUOIII <URL>	1	1
