id	text	misogynous	misogyny_category	target
31	<MENTION_1> You know you can always block me right ? Or are you an attention whore ? Waiting for your feminist friends to get on line	1	discredit	active
32	And HE HAD ANOTHER GIRL WITH HIM bitch she was shook <URL>	1	discredit	active
33	also this girl tried to twerk me away from barricade FUCK YOU suck my dick!	1	sexual_harassment	active
34	Boo, you sweaty whore	1	discredit	active
36	<MENTION_1> Wow mo cock got hard. Want to pull your panties down, push you against these door and let you feel my cock deep in your wet puss 😈	1	sexual_harassment	active
37	Kashdoll said 🗣Yall hoes kill me always want the next bitch issue, bitch you want her life but dont know what she been threw 💯‼️	1	discredit	active
38	Literally just saw a 10 year old girl wearing a shirt with sparkles that said 'doing my best' fucking same bitch where'd you get that😂😂😂👽⚠✖ <URL>	1	discredit	active
39	But remember, you cheated on me first, you’re a whore, you’re a whore, this is whore 😂😂😂	1	discredit	active
40	<MENTION_1> Wow!! Never seen a woman juggle a big cock like that	1	sexual_harassment	active
41	Is it rape if you stick your finger in a bootyhole when they sleep?	1	sexual_harassment	passive
42	Why did women vote for Trump? bitches will vote for a bitch	1	discredit	passive
43	So i had a dream that baekyeol kissed right in front of my face that was very charming thing until some psycho women start to scream.bitch	1	discredit	passive
44	my girl left early in the morning holler bout she going to get her hair done bitch i ain’t dumb	1	discredit	active
45	All you fucking faggots were laughing at her too with that other fucking dumb cunt liberal Ellen DeGeneres	1	discredit	active
46	I'm sorry but you damn hoe and you don't even know it 🤦🏾‍♂️	1	discredit	active
47	Thats yo main bitch thats my side hoe damn near coldest bitch i love her nigga side joke🙃	1	discredit	active
48	<MENTION_1> got these hoes thinking sharing a nigga or being a side bitch is cool 🤦🏽‍♀️	1	discredit	active
49	<MENTION_1> She probably was using it already before she took it stupid bitch.	1	discredit	active
50	<MENTION_1> you fucking slut, daddy wants you to dm him	1	discredit	active
51	ALSO... still laughing at this bitch that my friend Chef brought to DirtyBird... LIKE NO ONE WANTED YOU THERE HOE JUST SO YOU KNOW 😹🤷‍♀️	1	discredit	active
52	🗣 Tuesday and Wednesday, Thursday and Friday.....I can beat your ass bitch every weekend. 😊🤷🏽‍♀️	1	discredit	active
53	Ill kill the bitch (chloe) when your not home — Idgaf if you’re kidding bitch I’ll report your ass ... <URL>	1	sexual_harassment	active
54	Why #WomenBoycottTwitter? because you act like Ms. Whore.	1	discredit	active
55	<URL> rape and murdered children what do you expect from the religion of peace and women don't count as human, think	1	discredit	passive
56	First of all ya dick is too mediocre to be having your ugly ass bitch come at me in such manner	1	discredit	active
57	wow that bitch is tweeting hard like her 'good heart' makes it look like she wasn't involved in the coverup- everybody knows she's a ho!	1	discredit	active
58	Too bad my stupid loyal bitch ass dropped all my hoes that smoked me out for an ain't shit boy	1	discredit	passive
59	<MENTION_1> stupid bitch i hate you	1	discredit	active
60	oh my god okay but i saw this jennie x pretty girl video and bitch i'm—	1	discredit	active
61	Me: h- Lana Del Dey: I’m a dragon you’re a whore bitch	1	discredit	active
62	<MENTION_1> <MENTION_2> You are such a lucky slut girl !!!! I envy you 🤤	1	discredit	active
63	Before you sign up to be a side bitch keep in mind that there’s a 99.9% chance of you getting your ass beat. K? K.	1	discredit	active
64	Never let a girl with unblended shadow, unlined lips, and a non-setting foundation w powder ass bitch tell u shit..have a good day y'all	1	discredit	passive
65	You only come around when you want dick.. bitch respect my energy.	1	discredit	active
66	<MENTION_1> YOU ARE NO CHAMPION FOR WOMEN! YOU'RE A GREEDY, OPPORTUNISTIC ATTENTION WHORE! You should never work in law again! #weinsteinGate <URL>	1	discredit	active
67	<MENTION_1> No bitch this girl annoying	1	discredit	active
68	Let's have some fun. Let me rape your wallet. You'll watch, stroke &amp; thank me for abusing you like a whore! #Findom #walletdrain #paypig	1	sexual_harassment	active
69	<MENTION_1> White woman are so quick to claim rape, so how about you black sisters? We rarely heard you!	1	discredit	passive
70	Lmao a little bitch got mad at me at work yesterday and asked to speak to a manager.. 🗣 hoe, I am the store manager so what now? 🤗	1	discredit	active
71	Yo moma ah stupid bitch!!! For having a fake ass son acting gangster on twitter. <URL>	1	discredit	active
72	<MENTION_1> <MENTION_2> Excuse me? EVERYONE LIKES IT!!! BITCH IF YOU DON'T FUCK OFF THIS WORLD! What a hoe! 😒	1	discredit	active
73	<MENTION_1> No, you suck and the game said you were a slut.	1	discredit	active
74	'A girl can only be a slut, a bitch, a tease, or the virgin next door.' #QOTD #Horror <URL> <URL>	1	discredit	passive
75	<MENTION_1> Backstabbing cher hypocritical, NASTY WOMAN and a bitch, bashing my President, who screwed her way to the top.. . . . . <URL>	1	discredit	active
76	...............................'I get to rape beautiful women and that's why I like working on this project.'	1	sexual_harassment	passive
77	Fuck you bitch. I'd fight you if I wasn't pregnant but your too big of a pussy to hit anyone cause all you do is run your mouth	1	discredit	active
78	<MENTION_1> l don't even know 's that fucking women bitch <PERSON_1>..	1	discredit	active
80	what the fuck 😔😔😔😳😳😳 Travis your a dumb ass bitch Kylie i still love yah girl btw 💕💕😩	1	discredit	active
81	<MENTION_1> girl lmaooooo bitch I needed a heads up or something 😂😂😂	1	discredit	active
82	This bitch is stupid af. Forcing me to wake up my residents. Like wtf not like I was sitting not doing shit I was doing shit. Stupid ass.	1	discredit	active
83	<MENTION_1> I miss you more main slut halavyaahhh HHAHAHHAAHAHpatatas!!! 😂😂	1	discredit	active
84	Hey girl if ur still reading my tweets ..... ur a dumb bitch	1	discredit	active
85	You just have power over men altogether, women are men’s ultimate weakness after all... which is why women are slut… <URL>	1	discredit	passive
86	this fake bitch trynna indirect me Hello @ me if ur not a coward hoe	1	discredit	active
87	<MENTION_1> back too you slut	1	discredit	active
88	<MENTION_1> I tried to find a gif of Brett Butler calling you a Godless Whore but...well let's just say I didn… <URL>	1	discredit	active
89	<MENTION_1> Ahhh bitch just the other day you said ' I been having a crush on him since forever' dumb ass hoe give it up he don't want you	1	discredit	active
90	<MENTION_1> <MENTION_2> some women love to be whores so don’t have if a pig wanna remove a pig from where he doesn’t belong! We need class	1	discredit	passive
91	“Fucking slut. I knew you were cheating on me.” <URL>	1	discredit	active
92	Shut up bitch and suck my cock <URL>	1	sexual_harassment	active
93	<MENTION_1> Telemarketer did same to me called me a whore and said he would rape me. Nice.	1	sexual_harassment	active
94	And you all call me a slut. Ha not when close compared to that slut!	1	discredit	active
95	Titties are 😎 but where's your ass bitch	1	discredit	active
96	<MENTION_1> a bitch about to get pussy punched if she dont buy a new god damn book	1	discredit	active
97	Boy you look like you rape girls at frat parties, malicious ass racist cunt <URL>	1	sexual_harassment	passive
98	<MENTION_1> <MENTION_2> demi = fat and flop ariana = queen now leave stupid bitch	1	discredit	active
99	<MENTION_1> <MENTION_2> I love playing with your ass will you rid my cock and I eat you out <URL>	1	sexual_harassment	active
100	Ovide Mercredi to Paul Schabas, 'Char's a squaw. I attack Indigenous women all the time. No one will notice if you rape her! Rape her!'	1	sexual_harassment	passive
101	<MENTION_1> <MENTION_2> Really? Some cunt that has Oasis lyrics in her bio is gonna tell me something? Stfu bitch, this cunt is crazy.	1	discredit	active
102	why this big fat ass ugly ass bitch like me 😭 she need to UNLIKE me!!!!! i love dick! tf	1	discredit	active
103	This ignorant bitch, <MENTION_1> should know. How many women did she destroy to protect that predator husband? <URL>	1	discredit	active
104	<MENTION_1> They are nice. You mean, mean whore	1	discredit	active
105	<MENTION_1> <MENTION_2> Girl or not if I saw that I'd knock the cunt out! How dare you hurt a child like that. Fucking sick twisted bitch	1	discredit	active
106	<MENTION_1> Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉	1	discredit	active
107	<MENTION_1> You a whore	1	discredit	active
108	I had this girl bite my dick a lil too hard last night	1	sexual_harassment	active
109	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> Hell, this stupid bitch <MENTION_6> said I wasn't even black, but a white person in blackface just because I said the NA isn't racist.	1	discredit	active
110	No apple, I don't want an amber alert for a stupid 16 yr old bitch that got into a 21 yr old pedos car .	1	discredit	active
111	<MENTION_1> <MENTION_2> I’m the big dick motherfuckin bitch hoe <URL>	1	discredit	active
112	Eric Cartman: How 'bout we sing, 'Kyle's Mom is a stupid bitch' in D Minor.	1	discredit	active
113	lil is beautiful, gays are cute, i'm very strong, and you're stupid bitch	1	discredit	active
114	Frost is a stupid bitch. <MENTION_1>	1	discredit	active
115	Thots be like 'OMG she's such a slut' #FirstofAll didn't you fuck the whole football team???	1	discredit	active
116	<MENTION_1> <MENTION_2> bitch if u dont hop off my dick and go do somethin with yo loud mouth ass , mothball… <URL>	1	sexual_harassment	active
117	boo seungkwan a visual hole ???? bitch i think the fuk not #SVT_PROJECT_VOCAL #PINWHEEL <URL>	1	discredit	active
118	Bitch you stupid but you aint stupid stupid 😂😂😂 <URL>	1	discredit	active
119	Then da cop decides to get in da car and try to make da girl suck his dick in da backseat for what reason Idk smh had to beat this nigga ass	1	sexual_harassment	active
120	I hate this British woman of letters bitch	1	discredit	active
121	Cunt and demon bitch Betsy Devos is an evil evil antichrist lying warlock for oil and money <URL>	1	discredit	active
122	I don’t really appreciate some of you that participated in “Fine Women Friday” ; This is my personal opinion though & your Granny a hoe...	1	discredit	passive
123	Happy 21st Birthday to my Slut🤘🏾🎂 you already know what we on😈 <MENTION_1>	1	discredit	active
124	Imagine getting your ass dragged by Kali Uchis bc you were being a rude ass bitch	1	discredit	active
125	Where's this bitch Gloria Steinem in all this abuse against women <URL>	1	discredit	active
126	your girlfriend a major snorter but that bitch ain't worth a quarter 😬	1	discredit	active
127	Your girl is a hoe, she fucked all my bros	1	discredit	active
128	<MENTION_1> <MENTION_2> Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard	1	discredit	active
129	Lmao, <MENTION_1> went off on the whore groupie hoe in Scott’s bathroom. Yes bitch!	1	discredit	active
130	You’re in the middle of being a woman or being a bitch?	1	discredit	active
131	This bitch for real said you're not a woman without boobs.	1	sexual_harassment	active
132	Went to <MENTION_1> stupid bitch put one in upside down one side ways. #wtf £6 we'll spent #cunt <URL>	1	discredit	active
133	I hate coming to the city people real life know my car like pussy study yo bitch car 😩😂	1	discredit	active
134	i use to get sky at my dads house but his whore girlfriend never use to let me watch it	1	discredit	active
135	even my dreams cock block me like i killed and save this bitch 100 times just to die and start again bitch this aint mario smd	1	discredit	active
136	<MENTION_1> Dirty smelly cunt slut whores. Hope your old man rots in a cell.	1	discredit	active
137	Getting her pussy and ass ate at the same time , now that's goals bitch	1	sexual_harassment	passive
138	lol, chop her head off and rape the bitch <URL>	1	sexual_harassment	active
139	disgusting little fuck bitch the only good thing about ur boring ass moview are the women in it. you owe everything to women so shut UP!!! <URL>	1	discredit	active
140	This pussy mine girl tell me you like Daddy dick.... 🙄 FIRST OF ALL WRONG HOLE FOO	1	discredit	active
141	Her hairy old cunt gets drilled by stiff dick <URL>	1	sexual_harassment	active
142	<MENTION_1> I moan as I watch your perfect blue pussy descend upon my big dick.	1	sexual_harassment	active
143	<MENTION_1> <MENTION_2> <MENTION_3> Suck my dick you stupid bitch.	1	sexual_harassment	active
144	<MENTION_1> Women are ridiculous lmao like bitch I’m 5’2. I’m sorry your crush went for a shorty 😂	1	discredit	passive
145	<MENTION_1> I love your ass bitch <URL>	1	sexual_harassment	active
146	<MENTION_1> go rape your whore of a mother	1	sexual_harassment	active
147	<MENTION_1> <MENTION_2> What a stupid bitch , talks utter shite this woman . pure fucking evil too .	1	discredit	active
148	Girls hear you say “fuckkk” during sex and think her pussy fire First of all hoe I’m really just feeling bad for cheating on my girl😂😂😂😂	1	sexual_harassment	passive
149	<MENTION_1> Bitch fuck you too then 😭‼️that’s why I hope all your teeth fall out whore	1	sexual_harassment	active
150	<MENTION_1> then why tho?? u damn stupid hoe 😂	1	discredit	active
151	Why is it whenever I talk to girls, they just cut off communication with me for no reason? And no explanation? O yea I know, cuz #WomenSuck	1	discredit	passive
152	Why do women have periods? Because they deserve them	1	discredit	passive
153	What takes up 12 parking spaces? 6 women drivers	1	stereotype	passive
154	Who makes the sandwiches at a feminist rally?	1	stereotype	passive
155	Why did God invent the yeast infection? So women know what it's like living with an irritating cunt	1	discredit	passive
156	God doesn't hate gays he's just mad they found a loop hole in dealing with women	1	stereotype	passive
157	Why is a female like a laxative? They both irritate the shit out of you.	1	discredit	passive
158	Why aren't women marching on the streets demanding the #draft for all women? Men know the answer. Women are lazy. <URL>	1	discredit	passive
159	When you're flexin on these bitches <URL>	1	discredit	passive
160	I need some new Atl hoes for the summer... Where the Atl bitches at	1	discredit	passive
161	Too many women confuse their hearts with their vaginas	1	discredit	passive
162	Strippers tryin to get me to the champagne rm is my favorite thing.. ✋🏼 bitch please, you'll be paying for this dick by the end of the night	1	sexual_harassment	active
163	People in airport bars always wanna tell you their life stories... STFU Bill, IDGAF about your stupid daughter and whore wife	1	discredit	active
164	If she lets you put your penis in her vagina with no strings attached, have the common decency to treat her like a queen on her bday	1	sexual_harassment	active
165	He cheated on you? That's nice. Now go sit in the corner, drink your lemonade and cry, bitch	1	discredit	active
166	If I put my fingers inside of you and you won't taste yourself, you can bet your ass I'm not tasting you either	1	sexual_harassment	active
167	I hate it when waitresses call me 'sir'... Like yeah bitch that's what I wanted with my lunch... A hard fuckin dick	1	discredit	passive
168	Bitches are always sayin 'it's the little things' until you have a -a little bank account -a little drinking problem -or a little dick	1	discredit	passive
169	I treat women like fuck toys cause that's all they are to me	1	discredit	passive
170	Pro Tip- Put all your bitches on a period tracker app so you know when to avoid they ass	1	discredit	passive
171	<MENTION_1> you're too sweet ya sexy bitch 😘	1	discredit	active
172	You don't have to worry about angles anymore... These bitches out here face swapping with their friends tryna trick to ass	1	discredit	passive
173	Bitches be postin pics of them in the bath after droppin a bath bomb in it lookin like they shit a smurf out	1	discredit	passive
174	Head so sloppy had to get that bitch a bib <URL>	1	discredit	active
175	No one gives less fucks than the guy that comments 'check your DM, ma' on bitches posts	1	discredit	passive
176	Donald- you stupid bitch Hillary- you fuckin buffoon Donald- think they believe we hate each other? Ah fuck it lets go get a drink <URL>	1	discredit	active
177	I don't catch feelings, I don't catch flights, but I do catch dudes slippin and fuck their girls	1	sexual_harassment	passive
178	Ugly bitches always got their shit on private with a profile pic that has 97462583047251538 filters on it	1	discredit	passive
179	My uncle Vern said women get their peiods because it's the only way God could get rid of some of their evil #womenareevil #evilwomen!!	1	discredit	passive
180	Correct me if I'm wrong but don't all you bitches wanna be mermaids? How come no stink on social media for the mermaid emoji then?	1	discredit	passive
181	THERE ARE WOMEN MAKING BURRITOS AT THE JACKSONVILLE CHIPOLTLE!! DO NOT EAT THERE!! #womencantmakeburritos #sheforgottheguacamole #badburri!!	1	discredit	passive
182	WASNT IT GEORGE WASHINGTON WHO SAID 'FUCK BITCHES GET MONEY'?	1	discredit	passive
183	Feminism is cancer. #TheRedPill is chemo. Burn those bitches away.!	1	discredit	passive
184	Today my daughter got her period. I guess It's time to throw her away and get a new one, right? LOL Fuck her, stupid bitch kid. I hate my !!	1	discredit	active
185	We can't have a woman in the White House. What if she starts PMSing and drops bombs everywhere?/	1	discredit	passive
186	If a woman doesn't want you just unleash your charm. Women are weak and will cave after almost nothing.;	1	stereotype	passive
187	Women are beautiful to me when they are silent. Why do they have to speak up and ruin things??!	1	dominance	passive
189	Its a good thing I always wear a glove on my left hand because if I EVER had to touch hands with a woman my IQ would totally drop to 0 Lol	1	stereotype	passive
190	The only person with a vagina that I value is my MOTHER, and even she is a dumb retard. Women are oNLY good for making babies.#	1	stereotype	passive
191	I'm pretty sure it was Abe Lincon who said 'Fool me once bitch, shame on you. Fool me twice, I'm no longer a man and am now a dumb woman'*	1	discredit	active
192	I've never in my LIFE met a woman who was smarter then ME. Maybe that has to do with their small retard brains? #womenaredumb..	1	stereotype	passive
193	Want to know what's really 'problematic' ?? Women freaking out over nothing! #triggered #idiots@	1	discredit	passive
194	IS there a thing in the constituion about women shutting the hell up? COME ON! #shutthehellupwomen..	1	discredit	passive
196	NEXT TIME I SEE A WOMAN IN PUBLIC TRYING TO 'GO ABOUT HER DAY' I'll remind her that without men, this society would just be a bunch of WOM	1	discredit	passive
197	WOW can't believe all these women riding the subway today? Shouldn't these bitches be making sandwiches LOL #ihatefemales..	1	stereotype	passive
198	The last time I saw a woman of value was at the strip club, and she was worth $1 LOL;	1	discredit	passive
199	These feminists are just too-ugly sluts who want attention!*	1	stereotype	passive
200	The more WOMEN in the workplace means LESS WOMEN IN THE KITCHEN. Like and retweet if you see this as a big problem #ilovefood #homecookedm#	1	stereotype	passive
201	I have never once met a woman whose mouth wasn't totally full of BULLSHIT. Stupid bitches!!	1	discredit	passive
202	The Olympics was fun, except for the fact that I would never watch a woman play sports.@	1	stereotype	passive
205	I am PROUD to be an #MRA. If stupid feminists can complain I should be able to complain just as loud. It's only fair.#	1	discredit	passive
207	Women want to be equal so now they don't shave their legs??? Gross*	1	discredit	passive
209	<MENTION_1> <MENTION_2> is this to do with crazy bitch Hillary or no?	1	discredit	active
210	<MENTION_1> YOU FVCKING CUNT BITCH!!! APOLOGIZE! <MENTION_2> <MENTION_3> <MENTION_2>Politics	1	sexual_harassment	active
211	<MENTION_1> dont u have anything better to do u cunt bitch	1	discredit	active
212	<MENTION_1> fuck you, you racist bitch, and cunt piece of shit, glad we know now where your entire family stands on social issues	1	discredit	active
213	Black Bitch Gets Cock Shoved In Her Waiting Cunt <URL>	1	sexual_harassment	passive
214	<MENTION_1> I know fucker bitch i rode with you one time remember cunt whore? Never again will i fuck around with the fuck around 😂😂	1	discredit	active
215	Calling someone a bitch and a cunt is not the way to do it.	1	sexual_harassment	passive
216	<MENTION_1> <MENTION_2> <MENTION_3> Fucking cunt where's my belt bitch suck my dick and make me cum on your mouth	1	sexual_harassment	passive
217	<MENTION_1> <MENTION_2> I hate you you fucking cunt bitch how fucking dare you I hope you wake up with mad cott… <URL>	1	discredit	active
218	<MENTION_1> <MENTION_2> Shut up cunt bitch whore	1	discredit	active
219	<MENTION_1> Bitch is a ugly 3rd world kunt wit no ass and flopper jugs. Hate her	1	discredit	active
220	niggas think bitches supposed to suck their lil ass dick and not give a bitch head too, like that's not how it works whore !!	1	sexual_harassment	passive
221	<MENTION_1> You ain’t shit bitch shut your whore mouth	1	discredit	active
222	You mother fucking piece of trash stupid fucking idiot hoe i hope you fucking die in hell son of a father fucking fuck bitch whore you fucki	1	sexual_harassment	active
223	What a suprise my Ex Wife is being a Whore for haloween wait until the kids turn 18 karen FUCK YO.u Whore Bitch You Lying Steali	1	discredit	active
224	<MENTION_1> <MENTION_2> How about that liberal whore Chelsea Handler? That bitch definitely sounds ignorant!	1	discredit	active
225	<MENTION_1> then you bitch m complain when you get them haha stop being a little bitch and just accept what you are, you filthy whore 😎	1	discredit	active
226	I just need women who know how to treat a bottom beta bitch girl like me right. That aren't afraid to take what they want.	1	sexual_harassment	passive
227	All women have the incredible ability to determine if another woman is a bitch based solely on her shoes.	1	stereotype	passive
228	🤤I need a bitch thats gon pay all my bills I don’t like broke women 🤢🚮😷🚮🤧	1	sexual_harassment	passive
229	Im not for abusing women but i swear to odin this bitch is about to have a permanant imprint of my fist in her face	1	sexual_harassment	active
230	<MENTION_1> She, Jane Fonda the traitorous bitch, is one of the most despicable women to ever walk the face of… <URL>	1	discredit	active
231	I never understood the big deal about making a guy a plate at a get -together/cookout. Shit after the children and women eat im in that bitch	1	sexual_harassment	passive
232	<MENTION_1> Women dont use their pussy to manipulate men... Women are saints .. cock riders bitches but saints ... LOLLLL	1	discredit	passive
233	<MENTION_1> It’s called polio. I hate calling women this word but your a ‘bitch’ in this instance.	1	discredit	active
234	This cunt with a dick <MENTION_1> is a perpetual race whore who wouldn't know an historical fact if her pathetic life depended on it 😉🖕✊	1	discredit	active
235	literally you keep minseok’s name out of your dirty whore mouth you can shit talk me all you want you cunt but leave him alone.	1	discredit	active
236	This fat bitch be really trying it when it comes to my kids i just wanna drag that fat whore	1	sexual_harassment	active
237	so my Chloe don't want to see me win she unfollowed because I made a post i HIT 100 FOLLOWERS and then she unfollowed me bitch fuck u whore	1	discredit	active
238	LMFAO lil biddy whores prison rape bitch im whose bitch	1	sexual_harassment	passive
239	keyshia ka'whore is a bird. gucci shoulda gave that bitch back to yo gotti	1	discredit	active
240	<MENTION_1> Bitch show me attention too you whore	1	discredit	active
241	We've been fucking this whore, Mother earth for awhile, She's a filthy bitch anyway, Rotting her from the inside out, We are at our end.	1	discredit	active
242	<MENTION_1> 'Oh said a bitch who lost everything. You whore.'	1	discredit	active
243	Lol omg you’re such a whore. 😂😂😂 “Who does that Sara?” Blah blah bitch look at yourself😂😂🤘🏼	1	discredit	active
244	listen here dumb fucker you dont call rania “whore” and youre the only crazy bitch here😘 deactivate pls bc nobody c… <URL>	1	discredit	active
245	A man, knows the difference between a woman and a lil ol whore bitch #100	1	discredit	passive
246	Hollywood women would be whores and crack addicts. When caught, they were raped. That is their story. <URL>	1	discredit	passive
247	Alyssa Milano, a brainless whore l, isn't empower women in any way. Women in science mathematics engineering and medicine are actually .	1	discredit	active
248	<MENTION_1> <MENTION_2> Women are sacred as mothers and wives. Everyone else is a degenerate whore who gets what… <URL>	1	discredit	passive
249	<MENTION_1> A tweet about 'rape jihaad'. Since non -muslim women without hijab are whores, they must be raped and be… <URL>	1	sexual_harassment	passive
250	Literally just got hit by a car bc this dumb blonde bitch was on her phone and she didn't even stop after HAHAHAHA what a cunt	1	discredit	active
251	I WILL NEVER UNDERSTAND WHY PEOPLE CAN’T JUST FUCKING MIND THEIR OWN GODDAMN BUSINESS WHY YOU ALL UP IN MY BARBECUE BITCH FOH YA CUNT	1	sexual_harassment	passive
252	Haven't talked to my kids in days because my bitch ass #babymomma is a cunt! #meetoo	1	sexual_harassment	passive
253	no you're just a dumb bitch that obviously doesn't know how to throw underhand. God you're a cunt <URL>	1	discredit	active
254	<MENTION_1> block me bitch I LOVE TRUMP U IGNORANT CUNT!!!!	1	discredit	active
255	'<PERSON_1> is a dumb cunt dyke bitch hoe. Waste of a pick. Stupid idiot.' -Coach Q	1	discredit	active
256	'Sable is a Whore and a Cunt!' - Sunny Destroys Sable: <URL> via <MENTION_1>	1	discredit	active
257	<MENTION_1> <MENTION_2> Oh nvm i didn't know omega & okada was in a pic together bitch fuck you slutbag whore cunt	1	discredit	active
258	the most worthless whore and bastard CUNT on <URL>	1	discredit	active
259	This bitch Cunt Whore Slut every type of name deserves to fucking die u Wildin for this <URL>	1	discredit	active
260	Teen Whore Lily Rader Gets Nailed And Creamed Sexy blonde loves rubbign her juicy cunt	1	sexual_harassment	passive
261	I saw a women driving whilst speaking on the phone I cursed that cunt :)	1	discredit	active
262	<MENTION_1> This cunt? Probably blames women for getting raped	1	sexual_harassment	passive
263	<MENTION_1> <MENTION_2> Most annoying cunt ever and I never call women that.	1	discredit	active
264	Normal woman degenerates into a cunt. <MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <URL>	1	discredit	passive
265	<MENTION_1> This woman is a cunt , when we cut trees that’s ignorant and selfish too, every family buying 2 -3 c… <URL>	1	discredit	active
266	You are a major Prick! No woman should ever be made to feel scared like that. But fuck you... you didn't ruin my day! Cunt!	1	sexual_harassment	passive
267	<MENTION_1> <MENTION_2> Woman she is a cunt	1	discredit	active
268	Why do people still like Chris Brown? He’s a fucking woman beating cunt	1	sexual_harassment	passive
269	<MENTION_1> Hey look its the woman who wants to get famous for crying about an ass slap. You truly are a worthless cunt.	1	discredit	active
270	Terrible cunt sticking up for tory sex pests she has no shame lower than a snakes belly vermin woman #marr	1	discredit	active
271	<MENTION_1> She isn’t racist unlike your somlalia bitch friend and you always causing shit.. bye slut	1	discredit	active
272	<MENTION_1> Fuck you slut bitch hoe! He aint giving a shit what you think	1	discredit	active
273	Twinkle twinkle little slut, you've got just what this BITCH wants!  you & will have lots of fun, you'll kiss my neck & lick My bum! #findom	1	sexual_harassment	active
274	Don't you hate when bitches act like sluts but aren't even down? Like that bitch from American Beauty.	1	sexual_harassment	passive
275	<MENTION_1> WHITE CRACKER BITCH YOUR MOMS A SLUT BITCH	1	discredit	active
276	<MENTION_1> The difference is you promote being a slut you dumb bitch you should go fuck yourself and stick some a… <URL>	1	discredit	active
277	<MENTION_1> Where is that <PERSON_1> slut bitch? That bitch is amazing	1	discredit	active
278	<MENTION_1> <MENTION_2> jayceejuice is a whore does she have sex talk with you too? Does she send you picks also she's a fucking slut	1	discredit	active
279	Real old whore slut and granny with thirsty vagina <URL>	1	sexual_harassment	passive
280	Yet another fame hungry whore <PERSON_1>. More bullshit claims to give her tv time. Pathetic slut. Hope shes sent to jail #LockHerUp	1	discredit	active
281	Suck a whore you slut	1	sexual_harassment	passive
282	<MENTION_1> <MENTION_2> <MENTION_3> I've noticed. Not all men are raping or harassing women but unfortunately that's… <URL>	1	sexual_harassment	passive
283	I'm actually really happy your ass got pregnant and that you're having a shotgun wedding. Karma is a bitch you cheating skank	1	discredit	active
284	<MENTION_1> Skank traitor bitch <MENTION_2>	1	discredit	active
